,From,To,Time (min)
42226,Savanna Army Depot,Swink,449
42227,Scalesmound,Macedonia,710
42228,Scales Mound,Botkinburg,636
42229,Seward,Fingerville,990
42230,Shannon,University,294
42231,Shirland,Big Indian,72
42232,Beloit,Vanderbilt,592
42233,South Beloit,Atwood,486
42234,Sterling,Lanesboro,992
42235,Coleta,Pine Grove Mills,168
42236,Stillman Valley,Stantonsburg,993
42237,Stillman Vly,Anderson,106
42238,Stockton,Oak Grove,468
42239,Woodbine,Ext Roig,108
42240,Warren,Queens,951
42241,Winnebago,Beallsville,867
42242,Winslow,Bear Lake,588
42243,Woosung,Philomont,332
42244,Rockford,Bryn Athyn,546
42245,Machesney Pk,Dupont,28
42246,Machesney Park,Tolliver Town,630
42247,New Milford,Hillside,831
42248,Morristown,Geisinger Medical Center,619
42249,Loves Park,Totz,852
42250,Machesney Pk,Lower Waterford,449
42251,Machesney Park,Etna,939
42252,Loves Park,Cummings,961
42253,Machesney Pk,Tonasket,525
42254,Machesney Park,Grays Point,194
42255,Rock Island,Riverton,771
42256,Albany,Grout,565
42257,Ceffco,Willowvale,311
42258,Hamlet,Pine Forge,534
42259,Ohio Grove,Clarkson,662
42260,Shale City,Fiveforks,579
42261,Old Gilchrist,Jamison City,848
42262,Mercer,Warminster,50
42263,Wanlock,Marion,885
42264,Sunbeam,Seven Lakes,966
42265,Aledo,Warsaw,258
42266,Andalusia,Prospect Park,317
42267,Andover,Cedarbrook,157
42268,Annawan,Moxie Gore Twp,40
42269,Atkinson,Gainesville,761
42270,Alba,Quinnesec,358
42271,Cornwall,Langley,697
42272,Barstow,Timken,44
42273,Buffalo Pr,Masterson,652
42274,Buffalo Prairie,White Oak,279
42275,Ulah,Morgan City,903
42276,Weller,Clifton,334
42277,Munson,Ellendale,976
42278,Cambridge,Mickleton,311
42279,Carbon Cliff,Clayhatchee,200
42280,Coal Valley,Anna,20
42281,Colona,Devon,872
42282,Green Rock,Agar,533
42283,Cleveland,Il Ro Tax Div,354
42284,Cordova,Strausstown,388
42285,Deer Grove,Lookout Mountain,77
42286,E Moline,Mount Pleasant,685
42287,Campbells Island,Avon,829
42288,Whites Addition,New Meadows,655
42289,Babcock,Rossmoor,861
42290,Meersman,Waddy,564
42291,Merry Oaks,Columbus,666
42292,South Moline,Loretto,715
42293,Watertown,Jericho,33
42294,East Moline,Alma,527
42295,Erie,Moroni,288
42296,Fenton,Greens Fork,412
42297,Fulton,Fenton,902
42298,East Clinton,Chandler Heights,794
42299,Garden Plain,Towanda,605
42300,East Fulton,Boutswells,540
42301,Hanna,Hudsonville,99
42302,Geneseo,N Swanzey,643
42303,Hampton,Villas De Palma Real,834
42304,Hillsdale,Villa Los Olmos,665
42305,Hooppole,Gilman,750
42306,Illinois City,East Cotter,145
42307,Joy,Internal Revenue Service,208
42308,Lyndon,Clifton,205
42309,Lynn Center,Lincolnville,397
42310,Lynn,Escalon,874
42311,Swedona,Portway Acres,891
42312,Matherville,Evening Shade,352
42313,Milan,Duck Crk Vlg,284
42314,Oak Grove,Pony,616
42315,Quad City Airport,New Mine,987
42316,Moline,Gentilly,510
42317,Genesee,Carlisle Barracks,960
42318,Union Grove,Longdale,633
42319,Malvern,Freeport,935
42320,Ustick,Topaz Lodge,899
42321,Clyde,Waldo,176
42322,Round Grove,Bueyeros,256
42323,Morrison,Burnleys,261
42324,New Boston,URB Santa Maria,981
42325,Sunny Hill,Rch Cucamonga,809
42326,Sunny Hill Estates,Quailtown,481
42327,Orion,Denton,609
42328,Warner,Mastic Beach,81
42329,Western,Mineral,721
42330,Osco,The Woodlands,139
42331,Mobet Meadows,Campbell,105
42332,Byron Hills,Goodrich,555
42333,Coe,Vinton,31
42334,Port Byron,Mechanicsvlle,417
42335,Preemption,Bethany,944
42336,Leon Corners,Navy Mutual Aid Assoc,826
42337,Brookhaven,Seven Springs,299
42338,Portland,Jksn,366
42339,Prophetstown,Lincoln Boyhood National Mem,539
42340,Wethersfield,Fort Meade,730
42341,Portland Corners,Laona,352
42342,Rapids City,Oak Grove,214
42343,Reynolds,Orrstown,66
42344,Perryton,Micco,262
42345,Marston,Marion Jct,396
42346,Boden,Wilson,595
42347,Cable,Hayward,285
42348,Richland Grove,Princeton,975
42349,Sherrard,Wagener,26
42350,Silvis,Westview,235
42351,Hahnaman,Eastlake,581
42352,Thomas,Drake,622
42353,Tampico,Brewton,268
42354,Taylor Ridge,Hayesville,155
42355,Thompson,Isle,426
42356,Thomson,Fairfield,259
42357,Rock Island Arsonal,Gaylord,772
42358,Dimmick,Oakgrove,501
42359,Rockwell,Hilltop Unit Tdc,435
42360,Tomahawk Bluff,Union Center,737
42361,La Salle,Ontario Ctr,22
42362,Binghampton,Pullman,629
42363,Shaws,Enterprise,242
42364,Amboy,Harrington Park,239
42365,Maytown,Josephine,154
42366,Ancona,Bloomery,636
42367,Reading,Silver City,902
42368,Arlington,Touchet,365
42369,Blackstone,Ext Ocean Front,637
42370,Sunbury,Airmont,367
42371,Buda,Merrionette Park,796
42372,Bureau,Turtle Lake,38
42373,Bureau Junction,Jamaica,341
42374,Cedar Point,Bo Mani,129
42375,Cherry,West Cornwall,984
42376,Compton,Lundale,567
42377,The Burg,Alakanuk,809
42378,Cornell,URB San Felipe,511
42379,Manville,Hagan,239
42380,Dalzell,Redart,442
42381,Dana,Sebasco Ests,371
42382,De Pue,Oroville,978
42383,Depue Junction,Perkins,282
42384,Depue,Claxton,137
42385,Howe,Uvm,377
42386,Dover,West Donegal,548
42387,Eldena,Bracken,883
42388,Grand Ridge,Hale Center,56
42389,Farm Ridge,Kansas University Med Center,974
42390,Granville,Chester,946
42391,Florid,Independence,192
42392,Hennepin,Adelphi,240
42393,Kasbeer,Harpswell,491
42394,Ladd,Plainfield,258
42395,Ladd Junction,Chouteau,631
42396,La Moille,Royston,268
42397,Lee Center,Neave,810
42398,Leonore,Rock Creek,981
42399,Long Point,Dormansville,23
42400,Lostant,Irvington,832
42401,Mount Palatine,Oakdale,353
42402,Mcnabb,Milo,436
42403,Mc Nabb,Pauls Valley,449
42404,Lake Wildwood,Jax Bch,743
42405,Magnolia,Madison Hts,755
42406,Malden,Mannboro,569
42407,Zearing,Hall County Regional Airport,288
42408,Manlius,Cove,651
42409,Mark,Greater Peoria Airport,302
42410,Danway,Boiling Springs,22
42411,Marseilles,Hialeah Gardens,400
42412,Meriden,Sedro Woolley,266
42413,Mendota,Julian,299
42414,Mineral,Brooklyn Park,35
42415,Neponset,Drain,335
42416,New Bedford,Bruneau Valley,831
42417,Piety Hill,Wachovia Bank,731
42418,Jonesville,Alhambra,703
42419,Oglesby,Altamahaw,575
42420,Ohio,Mokelumne Hl,763
42421,Limerick,Andrus Island,23
42422,Prairie Center,Gurley,235
42423,Stoneyville,Mandaree,365
42424,Woodland Addition,Hud Fed Housing Adm,712
42425,North Ottawa,Ralston,805
42426,Brickton,Burlington Junction,827
42427,Naplate,Port Alsworth,735
42428,Ottawa,Boyes Hot Spg,682
42429,Dayton,Circleville,824
42430,Paw Paw,Seneca,262
42431,Peru,N Topsail Bch,828
42432,Coal Hollow,Guilford Center,210
42433,Hollowayville,Mt Union,523
42434,Princeton,Kennydale,984
42435,Rutland,Meno,379
42436,Seatonville,Bethlehem,441
42437,Seneca,Schertz,381
42438,Stavanger,Voorheesville,180
42439,Sheffield,Dyer,513
42440,Spring Valley,Saxonburg,153
42441,Ottoville,Silver Creek,138
42442,Webster Park,Zylks,59
42443,Standard,Ruddels Mills,51
42444,Kangley,King George,791
42445,Munster,Elk Creek,311
42446,Streator,Minneapolis,857
42447,Kernan,Saddlestring,5
42448,Streator West,Albion,481
42449,Missal,East Gillespie,71
42450,Streator East,Hardwich,776
42451,South Streator,Ocean Bay Park,164
42452,Sublette,Whitehall,724
42453,Tiskilwa,Lakeview,44
42454,Lone Tree,Reverie Tn,644
42455,Providence,Ext Santa Ana,145
42456,Pattonsburg,Saint Michaels,583
42457,Toluca,Dawson,915
42458,Lowell,Monroe,857
42459,Vermilionville,Keota,889
42460,Tonica,Silverthorne,191
42461,Triumph,Panther Forest,283
42462,Troy Grove,Weeping Water,757
42463,Utica,Boggsville,1000
42464,North Utica,Rockville Center,245
42465,Van Orin,Hiltonia,743
42466,Varna,Loxahatchee Groves,159
42467,Walnut,Bandon,656
42468,Normandy,Glenwood City,384
42469,Evans,Hoople,439
42470,Wenona,Raritan,982
42471,East Wenona,Starners Station,925
42472,Leeds,Oak Lawn,378
42473,Garfield,Snyders Corners,818
42474,West Brooklyn,East Thompson,952
42475,Wyanet,Luke Air Force Base,599
42476,Henderson Grove,Gustine,528
42477,Galesburg,Warfield,202
42478,Abingdon,Harper Woods,969
42479,Adair,Sugarhill,740
42480,Alexis,The Hollow,794
42481,Shanghai City,Ferryville,102
42482,Alpha,Cragin,612
42483,Altona,Holloman Air Force Base,417
42484,Avon,Myerstown,41
42485,Check Row,Readyville,795
42486,Greenbush,Watertown,256
42487,Bardolph,Upper Montclair,198
42488,Berwick,Forest Park,782
42489,Biggsville,Langley,260
42490,Bishop Hill,Shedd,936
42491,Blandinsville,Hartland,519
42492,Broadmoor,East Nassau,485
42493,Lombardville,Rockaway,184
42494,Bradford,Newbury,529
42495,Milo,Little Rock,726
42496,Osceola,Wilmont,732
42497,Bushnell,Alexandria,436
42498,Cameron,Hopewell,487
42499,Camp Grove,Stony Creek,39
42500,Gulfport,Johnson Village,289
42501,Shokokon,Neosho Falls,603
42502,Carman,Slemp,439
42503,Carthage Lake,Wadena,606
42504,Castleton,West Richfield,573
42505,Cuba,Fulton Beach,515
42506,Oak Run,Maplehurst,347
42507,Appleton,Klamath,62
42508,Dahinda,Milwaukee,5
42509,E Galesburg,Tracys Landing,15
42510,East Galesburg,East Hills,185
42511,Columbia Heights,Pfeifer,236
42512,Ellisville,Cedar Creek,671
42513,Fairview,Atlantic,569
42514,Joshua,Silver Point,715
42515,Fiatt,Gmf,560
42516,Galva,Glen Allen,628
42517,Gerlaw,Vista Del Sol,44
42518,Delong,West Hempstead,217
42519,Gilson,Dept Labor Stats,246
42520,Gladstone,Clifton,963
42521,Good Hope,Goddard,410
42522,Henderson,Dardanelle,558
42523,Industry,Dawson,702
42524,Bernadotte,Lane,180
42525,Ipava,Nicholasville,866
42526,Keithsburg,Frederick,513
42527,Kewanee,W Babylon,88
42528,Tompkins,Duguesne,137
42529,Kirkwood,Elk Horn,17
42530,Rozetta,Suedburg,424
42531,Knoxville,Norbourne Estates,426
42532,La Fayette,Connellsville,97
42533,La Crosse,Jax Naval Hos,72
42534,La Harpe,Lyden,887
42535,Laura,Lk Junaluska,590
42536,Elmore,Newport,925
42537,Doddsville,Pottsville,36
42538,Littleton,Fullerton,494
42539,Eleanor,Parkville,830
42540,Little York,Okla Univ Health Sci Ctr,783
42541,Lomax,Bynum,388
42542,Macomb,Cisco,470
42543,Hermon,Riverbend,231
42544,Maquon,Rose Hl Acres,767
42545,New Philadelphia,Oelrichs,820
42546,Marietta,Richards,647
42547,Media,Richview,461
42548,Ormonde,Newfields,441
42549,Monmouth,Mount Pleasant,638
42550,Larchland,Paw Paw,955
42551,New Windsor,Knoxville,324
42552,N Henderson,Gorman,93
42553,North Henderson,Highland Mls,332
42554,Oneida,Ferriday,53
42555,Ophiem,W Hempstead,916
42556,Opheim,Felton,489
42557,Oquawka,Citibank,762
42558,Walnut Grove,Hepler,150
42559,Prairie City,London,80
42560,Raritan,Bingham Cyn,305
42561,Rio,Westpoint,648
42562,Youngstown,North Jackson,109
42563,Swan Creek,Anderson Is,547
42564,Roseville,Playa Del Rey,184
42565,St Augustine,Bellerose Terrace,971
42566,Saint Augustine,Neenach,105
42567,Sciota,Crystalaire,763
42568,Blandinsville,E St Johnsbry,690
42569,Seaton,Britt,283
42570,Seville,Escobas,260
42571,Smithfield,Fouke,887
42572,Blyton,Stonefort,262
42573,Ellison,Fredonia,94
42574,Smithshire,Campbells Island,882
42575,Speer,Pine Springs,492
42576,Olena,Four Corners,358
42577,Stronghurst,Wilton,276
42578,Decorra,Apex,664
42579,Hopper,Brown Deer,904
42580,Table Grove,Publishers Clearing House,136
42581,West Jersey,Mauston,302
42582,Toulon,Wabeno,227
42583,Elmira,Neville,481
42584,Goshen,La Crosse,522
42585,Saxton,Harrison,891
42586,Vermont,Horton,373
42587,Victoria,Greenfield,920
42588,Viola,East Garrison,567
42589,Wataga,Browns Valley,707
42590,Williamsfield,Ellisburg,436
42591,Nekoma,Crayne,755
42592,Woodhull,Altoona,807
42593,Modena,Payne Gap,391
42594,Wyoming,Ball,992
42595,Astoria,Lino Lakes,722
42596,Summum,Chase Bank,618
42597,Benson,Flat River,955
42598,Southport,Beryl,769
42599,Brimfield,Saint Paul,782
42600,Bryant,Follett,624
42601,Banner,Buffalo,519
42602,Canton,Jax,842
42603,Breeds,Koloa,712
42604,Brereton,Ft Leavenworth,421
42605,Monterey,Sanford,932
42606,Rome Heights,Ind Minillas,682
42607,Vonachen Knolls,Indian Head,106
42608,South Rome,Lopez,246
42609,Chillicothe,Thompsons,758
42610,Vets Row,Parc Marquez,84
42611,Galena Knolls,Darfur,20
42612,Holmes Center,Stuttgart,230
42613,Edgewater Terrace,Big Wells,626
42614,North Hampton,Atalissa,96
42615,Renchville,Renova,384
42616,Dunfermline,East Randolph,250
42617,Lake Of The Woods,Enchanted Oaks,461
42618,Dunlap,Mooreton,598
42619,Lawn Ridge,Stevensville,981
42620,Edelstein,Hartleton,974
42621,West Hallock,Watford Cy,115
42622,Kickapoo,Bolckow,361
42623,Edwards,Mount Weather,798
42624,Elmwood,Wildwood,910
42625,Rosefield,Rockport,950
42626,Cramers,Elk Garden,26
42627,Eureka,Hinton,841
42628,Farmington,Fairless Hls,377
42629,Middlegrove,Alts De Borinquen,318
42630,Bishop,Fairmount,567
42631,Forest City,Boon,245
42632,Glasford,Florence,205
42633,Green Valley,Norco,155
42634,Whispering Oaks,Edmonson,975
42635,Groveland,Register,782
42636,Grand Oaks,Sandy River Plt,155
42637,Northern Oaks,Dulles Air Transfer Office,271
42638,Towne Oaks,Mc Coy,678
42639,Hanna City,URB Oasis Gdns,848
42640,Smithville,Loon Lake,744
42641,Saratoga Center,Sweet Briar,704
42642,Henry,La Selva Beach,132
42643,Kingston Mines,Omega,752
42644,Kingston Mine,Rexford,330
42645,Lacon,La Barque Crk,310
42646,Bell Plain,Villa Esmeralda,871
42647,La Rose,Lithia Sprs,586
42648,Little America,Needmore,758
42649,Lewistown,Bradford,332
42650,Liverpool,Buffalo Ridge,328
42651,London Mills,Elko,125
42652,Rapatee,East Mc Keesport,824
42653,Lowpoint,Potsdm,51
42654,Cazenovia,Muttontown,275
42655,Talbott,Fordsville,785
42656,Parkland,Pacific Plsds,180
42657,Spring Lake,Vinton,190
42658,Manito,URB Madelaine,131
42659,Lake Lancelot,Goree,48
42660,Mapleton,South Bay Village,245
42661,Lake Camelot,Burrville,244
42662,Metamora,Arminto,242
42663,Oak Ridge,Clifton Hts,239
42664,Germantown Hills,Belmont,624
42665,Partridge,New Kensington,831
42666,Germantwn Hls,Venus,677
42667,Mayfair,URB Baramaya,204
42668,Ossami Lake,Grifton,336
42669,Field Shopping Center,Dequincy,312
42670,Morton,Cooper Lndg,130
42671,Mossville,Fishers,521
42672,Norris,Sturgis,434
42673,Pekin Heights,Los Coyotes,84
42674,Pekin Mall,Mobile,771
42675,Midway,Wall Lake,700
42676,North Pekin,Tripler Army Med Ctr,614
42677,Marquette Hts,Hopkins,17
42678,Marquette Heights,Wallace,864
42679,Pekin,Salol,258
42680,Normandale,Muir,508
42681,Schaeferville,Fairfield,464
42682,Pekin Ins Co,Valley Grande,933
42683,Monica,Brinckley,149
42684,Princeville,Brownville,716
42685,Putnam,Cedar Knolls,422
42686,Lake Thunderbird,Northfield,339
42687,Roanoke,Otter Rock,463
42688,Rome,Malden On Hudson,997
42689,St David,Groveland,121
42690,Saint David,Lower Longswamp,521
42691,South Pekin,New Alexander,933
42692,Sparland,Paauilo,681
42693,Hopewell Estates,Redhaw,639
42694,Hopewell,Waverly,580
42695,Goofy Ridge,Sect Villa Luna,747
42696,Topeka,Glenwood,12
42697,Dillon,Muskego,957
42698,Allentown,Wilderness Village,866
42699,Tremont,East Side,392
42700,Trivoli,The Plains,550
42701,Washburn,Red Shirt,630
42702,Wilbern,Frenchboro,204
42703,Beverly Manor,Hinsdale,746
42704,Washington,Edmund,481
42705,Yates City,Glenarden,36
42706,Peoria,Tribbey,255
42707,Norwood,Cleverdale,840
42708,Bellview,Mint Canyon,952
42709,El Vista,Richfield,965
42710,West Peoria,Phinizy,44
42711,Bellevue,Superior,885
42712,Bartonville,Osborne,962
42713,Tuscarora,South Jamesport,408
42714,Hollis,Millport,319
42715,Mardell Manor,North Hyde Park,902
42716,Greater Peoria Airport,Saxis,268
42717,Orchard Mines,Rouseville,358
42718,High Meadows,Lower Salem,245
42719,Peoria,Milnor,144
42720,Creve Coeur,Andover,377
42721,East Peoria,Arlington Heights,440
42722,Bayview Garde,North Windham,862
42723,Spring Bay,Helena,282
42724,Bayview Gardens,Center,844
42725,Robein,Marion,513
42726,Peoria,Kary,609
42727,Northwoods Shop Ctr,Radium,487
42728,Pottstown,Campbell,810
42729,Alta,Yarrelton,341
42730,Peoria,Voorhees Township,554
42731,Peoria Hts,Hack,835
42732,Peoria Heights,Elmo,135
42733,Bradley Univ,Sharon,688
42734,Caterpillar Inc,Blue Ball,661
42735,East Peoria,Brighton Plt,573
42736,Great Central Ins Co,West Union,252
42737,Il Mutual Life & Casualty,Glen Mills,140
42738,Il Central College,Dewey Beach,533
42739,Methodist Hosp,Hill AFB,391
42740,St Francis Hosp,Severance,982
42741,Replacement Lens Inc,Stonewall,318
42742,Westinghouse Air Brake,Cut,738
42743,Komatsu Dresser,Mc Intosh,508
42744,Keystone Steel And Wire,Southern Union Gas Company,36
42745,Peoria Journal Star,Gill,912
42746,Eastland Commons,Haugen,372
42747,Bloomington,Silver Spring,332
42748,Bloomington Heights,Old Hickory,938
42749,Gillum,Castleton,785
42750,Eastland Shopping Center,Ny Dept Trans,348
42751,Fletcher,Hoosick Junction,936
42752,Kerrik,Porterdale,371
42753,Oldtown,Memphis Light Gas And Water,276
42754,Barnes,Hazel Green,28
42755,Yuton,Water Gap,80
42756,Bloomington Normal Airport,Hague,586
42757,Blm,Cedar Valley,11
42758,Covell,Rca Mfg Co,24
42759,State Farm Ins Il Region Ofc,Moss Bluff,315
42760,3 State Farm Plaza,Ogilvie,842
42761,Anchor,Lost Creek,539
42762,Burt,Dresden Station,339
42763,Armington,Trisler,593
42764,Hittle,Appam,217
42765,Sabina,Ketchikan,727
42766,West,Tufts University,546
42767,Arrowsmith,New Smyrna,573
42768,Atlanta,Mackinaw City,812
42769,Bellflower,Ny Workman Comp,309
42770,Glen Avon,Dubois Xrds,649
42771,Kumler,Universal Cty,806
42772,Carlock,Snowmass,726
42773,Meadows,Cloudcroft,192
42774,Weston,East Shelburn,294
42775,Chenoa,Limby,870
42776,Yates,Clifton,232
42777,Clintonia Township,URB Pura Brisa,960
42778,Hallsville,Pg Contest Mail,182
42779,Birkbeck,Fl Regional Library For Blin,878
42780,Jenkins,Auburn,1000
42781,Texas Township,Thonotosassa,929
42782,Ospur,Heucks,420
42783,Harp Township,Looxahoma,719
42784,Clinton,San Juan Capo,702
42785,Midland City,Manter,970
42786,Barnett Township,Hadley,348
42787,South Clinton,URB Santa Elenita,278
42788,Colfax,Dixons Mills,630
42789,Congerville,Jenison,250
42790,Cooksville,Hoffman,587
42791,Cropsey,Wilkinson,263
42792,Danvers,Vermillion,129
42793,Deer Creek,Larksville,719
42794,Delavan,Campo Seco,864
42795,Boynton,Southampton,538
42796,De Witt,Marion,32
42797,Dewitt,Ravia,678
42798,Holder,Sopris,350
42799,Downs,Brazito,514
42800,Dawson Township,Mc Ewensville,306
42801,Padua,Rice River,369
42802,Ellsworth,Offutt Lake,266
42803,Kappa,Lizella,109
42804,Panola,Swygert,824
42805,El Paso,Nine Mile Falls,55
42806,Avoca,Solon Mills,146
42807,Fairbury,Lisbon,81
42808,Champlin,E Waterford,957
42809,Flanagan,Holcomb Village,863
42810,Nebraska Township,Williamsville,43
42811,Wing,Turnersville,305
42812,Pleasant Ridge,Sunrise,627
42813,Forrest,Cochiti Publo,309
42814,Goodfield,Brook Park,965
42815,Graymont,Grandville,20
42816,Waldo,Doughton,502
42817,Gridley,Mphs,23
42818,Randolph,Bar Harbor,200
42819,Lyttleville,Dodge City,297
42820,Heyworth,Tangier,815
42821,Hopedale,Westfield,991
42822,Hudson,Book,551
42823,Tunbridge,Francisville,703
42824,Kenney,Brinnon,690
42825,Lane,Jigger,31
42826,Lawndale,Pryor Creek,794
42827,Leroy,Lyons,711
42828,Le Roy,Wellington,900
42829,Hilltop,Yantisville,804
42830,Money Creek,La Vernia,699
42831,Lexington,Hawaii Natl Park,993
42832,Mc Lean,Quogue,340
42833,Funks Grove,Bailey,383
42834,Mclean,Redmond,545
42835,Mackinaw,Walker,893
42836,Lilly,Mize,849
42837,Maroa,Boyds,965
42838,Merna,Brunswick,805
42839,Minier,Rice,653
42840,Little Mackinaw,Larwill,328
42841,Spires,Rye,842
42842,Woodford,Rhodesville,958
42843,Minonk,Hydro,892
42844,College Hills Mall,Silverdale,401
42845,Merna,Northfield,424
42846,Normal,Sect La Playita,915
42847,Eppards Point,Wildwood,259
42848,Rowe,Martins Mills,163
42849,Rugby,Walkertown,321
42850,Swygert,Waverly,195
42851,Vermillion Estates,Kissimmee,442
42852,Rooks Creek,Edina,233
42853,Cayuga,S Williamson,129
42854,Mcdowell,Galesville,729
42855,Owego,Harman,937
42856,Ocoya,Preston,790
42857,Pontiac,URB Lirios Cala,668
42858,Saunemin,Guys,466
42859,Eylar,URB Nuevo San Antonio,819
42860,Scovel,Lancaster,272
42861,Saybrook,Egg Harbor Township,510
42862,Secor,Overland Park,288
42863,Shirley,Pattonsburg,683
42864,Sibley,St Michael,208
42865,Stanford,Fishers,789
42866,Allin,Blockton,561
42867,Strawn,Cozad,554
42868,Towanda,Portsmouth,117
42869,Wapella,Unionville,543
42870,Tabor,Union City,313
42871,Waynesville,Eskdale,496
42872,Il State University,Us Postal Service,345
42873,Internal Revenue Service,Black Hawk,8
42874,Urbana,URB Roosevelt Gdns,34
42875,Allerton,Quincy Center,626
42876,Alvin,Fessenden,369
42877,Armstrong,Mead Johnson Co,641
42878,Bement,Marcus,498
42879,Bismarck,El Ancon,525
42880,Bondville,Pickensville,387
42881,Broadlands,Rarden,18
42882,Catlin,Thorp,594
42883,Cerro Gordo,Tulpehocken,810
42884,Champaign,Dunkirk,794
42885,Cisco,Lutherville Timonium,172
42886,Collison,Reidville,587
42887,Central Park,Glendale Hts,748
42888,Hegeler,Aurora,665
42889,Danville,Foster Falls,147
42890,Danville,Stuart,352
42891,Tilton,Chelyan,85
42892,De Land,Green,992
42893,Dewey,Wingate,395
42894,Fairmount,Pearisburg,921
42895,Farmer City,Webster,976
42896,Fisher,Kans Cty,680
42897,Fithian,Wolfpit,52
42898,Foosland,Blundale,782
42899,Georgetown,Fruitvale,326
42900,Gifford,Redington,199
42901,Henning,Tomato,773
42902,Homer,Us Bank Visa,890
42903,Indianola,Vista Mar,864
42904,Ivesdale,Ethel,180
42905,Longview,Villard,524
42906,Mahomet,Marsh Hill,847
42907,Mansfield,Blake,447
42908,Milmine,Sand Lake,45
42909,Lodge,Seaforth,586
42910,Monticello,Manzano Base,254
42911,Muncie,Marshfield,129
42912,Oakwood,Parq Del Rio,576
42913,Ogden,Ambassador College,29
42914,Penfield,Fredericksbrg,352
42915,Pesotum,Plyler,791
42916,Philo,Yount,603
42917,Potomac,Florence,891
42918,Rantoul,East Barre,213
42919,Ridge Farm,Ellsworth,879
42920,Royal,Bloomville,397
42921,Sadorus,Sigurd,353
42922,Saint Joseph,Walnut Grove,519
42923,Savoy,Hopedale,616
42924,Seymour,Wahpeton,915
42925,Sidell,Sugarloaf Shrs,638
42926,Sidney,Broomes Island,84
42927,Thomasboro,Astoria,53
42928,Tolono,Allegany Spring,1000
42929,Weldon,Osnaburg,797
42930,Westville,Postal Regulatory Comm,576
42931,Belgium,Wilkes Barre,454
42932,White Heath,Sherman Lake,535
42933,Arcola,Sierra Vista,262
42934,Arthur,Arivaca,636
42935,Chesterville,Mt Hamilton,874
42936,Cadwell,Chippewa Falls,552
42937,Ashmore,Davenport,16
42938,Garrett,Alta Vista,449
42939,Atwood,Deering,446
42940,Bethany,North Duxbury,739
42941,Brocton,Windsor Locks,138
42942,Camargo,Jamaica,747
42943,Charleston,Hanover Beach,680
42944,Rardin,Lapark,544
42945,Chrisman,Tenants Harbor,165
42946,Dalton City,Forest Lake,263
42947,Gays,Franklin,157
42948,Pierson Sta,Hillsdale,686
42949,Hammond,Bucklin,972
42950,Pierson Station,Louisiana,880
42951,Hindsboro,Evansville,538
42952,Humboldt,Reno,247
42953,Hume,Kingsdale,781
42954,Kansas,Arena,616
42955,La Place,Lower Montville,557
42956,Lake City,S Natick,80
42957,Lovington,Curtice,992
42958,Mattoon,Nellis Air Force Base,166
42959,Metcalf,Eden Valley,547
42960,Murdock,Joint Staff,207
42961,Newman,Cuyuna,653
42962,Oakland,West Nanticoke,260
42963,Paris,Mason Dixon,912
42964,Redmon,Chupadero,669
42965,Allenville,Tracy,49
42966,Sullivan,Kaunakakai,765
42967,Kirksville,New Tripoli,601
42968,Tuscola,Rolla,83
42969,Vermilion,Palmer Township,392
42970,Villa Grove,Veazie,101
42971,Windsor,Bainbridge,578
42972,Alhambra,Stevenson,438
42973,Kaufman,Princeton,839
42974,Alton,E Moline,918
42975,Batchtown,South Otselic,225
42976,Gilead,Palermo,296
42977,Beechville,Head Of Grass,189
42978,Benld,Haile,486
42979,Bethalto,Tremont,335
42980,Fort Russell,Point Aux Pin,80
42981,Bingham,Juniata Terr,971
42982,Brighton,Pottsville,47
42983,Brussels,Mt Sterling,47
42984,Deer Plain,Conifer,381
42985,Meppen,Adamstown,906
42986,Woodburn,Vista Lago,703
42987,Bunker Hill,Saint Joe,857
42988,Butler,Miles,64
42989,Carrollton,Toluca Lake,500
42990,Coffeen,Paguate,909
42991,East Fork,Spokane Closed District,23
42992,Cottage Hills,Elwyn Terrace,279
42993,Donnellson,Limestone,461
42994,Dorsey,Adak,760
42995,Dow,Ismay,789
42996,Eagarville,Robertsdale,29
42997,Rosewood,West Wyoming,814
42998,East Alton,Webb,63
42999,Dunlap Lake,Buffalo Spg,685
43000,Edwardsville,Ellis,590
43001,Holiday Shores,Somesbar,769
43002,Southern Illinois University,Huntington,261
43003,Eldred,Prosper,198
43004,Woodville,Reedy,199
43005,Elsah,Lawton,631
43006,Chautauqua,S Woodstock,823
43007,Fidelity,Burlingtn Jct,683
43008,East Hardin,Rio Grande,130
43009,Rosedale,Mans De Rio Piedras,762
43010,Nutwood,Ybor City,240
43011,Fieldon,Reuben,542
43012,Van Burensburg,Wallingford,933
43013,Fillmore,Boxholm,656
43014,Chapman,North Berwick,778
43015,Bingham,Barton,689
43016,South Fillmore,Swiftwater,107
43017,East Gillespie,Luray,475
43018,Gillespie,Sewanee,358
43019,Mount Clare,Crothersville,208
43020,Dorchester,Clarksdale,717
43021,Glen Carbon,Seven Springs,365
43022,Godfrey,St Benedict,205
43023,Golden Eagle,St Louis,586
43024,Otterville,Thermalito,428
43025,Quarry,Saint Helens,738
43026,Grafton,East Genoa,491
43027,Granite City,Reedville,934
43028,Mitchell,Boswells Tavern,772
43029,Pontoon Beach,Bozeman,561
43030,Fayette,Bristers,448
43031,Greenfield,Lisbon,912
43032,Hamburg,Layfield,135
43033,Hamel,Guntown,209
43034,Hardin,Bolton,314
43035,Hartford,Stansel,414
